,prob_s,comp_factor,Intervention strategy,name,q_y,q_a,q_o,q_ya,q_ao,q_yo,color,R0,si_eff
153,1,0.25,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.1899363399367615,0.25
154,1,0.25,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,0.8760413702791792,0.25
155,1,0.25,5,SI and no 60+ contacts,0.0,0.0,1.0,0.0,1.0,1.0,#770000,1.654615814239457,0.25
156,1,0.26,0,Self-isolation (SI),0.0,0.0,0.0,0.0,0.0,0.0,#8C9EDE,1.702000000000004,0.26
157,1,0.26,1,SI and 60+ social distancing (SD),0.0,0.0,0.5,0.0,0.7,0.9,#65C8D0,1.6357600910234038,0.26
158,1,0.26,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,1.5093727675206354,0.26
159,1,0.26,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.174070522070938,0.26
160,1,0.26,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,0.8643608186754568,0.26
161,1,0.26,5,SI and no 60+ contacts,0.0,0.0,1.0,0.0,1.0,1.0,#770000,1.6325542700495967,0.26
162,1,0.27,0,Self-isolation (SI),0.0,0.0,0.0,0.0,0.0,0.0,#8C9EDE,1.6790000000000007,0.27
163,1,0.27,1,SI and 60+ social distancing (SD),0.0,0.0,0.5,0.0,0.7,0.9,#65C8D0,1.6136552249284903,0.27
164,1,0.27,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,1.4889758382298168,0.27
165,1,0.27,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.1582047042051145,0.27
166,1,0.27,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,0.8526802670717349,0.27
167,1,0.27,5,SI and no 60+ contacts,0.0,0.0,1.0,0.0,1.0,1.0,#770000,1.6104927258597357,0.27
168,1,0.28,0,Self-isolation (SI),0.0,0.0,0.0,0.0,0.0,0.0,#8C9EDE,1.656000000000005,0.28
169,1,0.28,1,SI and 60+ social distancing (SD),0.0,0.0,0.5,0.0,0.7,0.9,#65C8D0,1.591550358833578,0.28
170,1,0.28,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,1.4685789089389965,0.28
171,1,0.28,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.1423388863392923,0.28
172,1,0.28,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,0.8409997154680121,0.28
